Date,PM10
2000-01-01,28.272727272727273
2000-02-01,16.8
2000-03-01,43.166666666666664
2000-04-01,50.8
2000-05-01,52.6
2000-06-01,49.6
2000-07-01,63.6
2000-08-01,62.2
2000-09-01,37.75
2000-10-01,42.0
2000-11-01,31.4
2000-12-01,51.6
2001-01-01,34.833333333333336
2001-02-01,21.0
2001-03-01,47.0
2001-04-01,39.4
2001-05-01,59.333333333333336
2001-06-01,57.2
2001-07-01,47.166666666666664
2001-08-01,48.0
2001-09-01,48.0
2001-10-01,67.0
2001-11-01,52.5
2001-12-01,21.0
2002-01-01,49.0
2002-02-01,49.4
2002-03-01,28.0
2002-04-01,40.8
2002-05-01,42.2
2002-06-01,46.8
2002-07-01,51.166666666666664
2002-08-01,60.8
2002-09-01,54.2
2002-10-01,50.0
2002-11-01,36.4
2002-12-01,42.0
2003-01-01,42.5
2003-02-01,21.6
2003-03-01,29.8
2003-04-01,25.0
2003-05-01,43.4
2003-06-01,48.0
2003-07-01,61.8
2003-08-01,61.166666666666664
2003-09-01,63.6
2003-10-01,65.2
2003-11-01,33.8
2003-12-01,39.4
2004-01-01,29.0
2004-02-01,18.4
2004-03-01,46.2
2004-04-01,40.6
2004-05-01,37.75
2004-06-01,48.0
2004-07-01,48.5
2004-08-01,43.333333333333336
2004-09-01,38.6
2004-10-01,37.2
2004-11-01,26.2
2004-12-01,17.8
2005-01-01,19.6
2005-02-01,14.5
2005-03-01,36.0
2005-04-01,31.2
2005-05-01,35.6
2005-06-01,37.6
2005-07-01,48.666666666666664
2005-08-01,52.166666666666664
2005-09-01,49.2
2005-10-01,33.666666666666664
2005-11-01,36.5
2005-12-01,31.6
2006-01-01,27.6
2006-02-01,36.6
2006-03-01,20.6
2006-04-01,18.4
2006-05-01,41.6
2006-06-01,39.2
2006-07-01,49.25
2006-08-01,41.25
2006-09-01,38.5
2006-10-01,32.6
2006-11-01,28.8
2006-12-01,18.166666666666668
2007-01-01,18.0
2007-02-01,13.333333333333334
2007-03-01,31.0
2007-04-01,47.8
2007-05-01,37.0
2007-06-01,40.4
2007-07-01,59.4
2007-08-01,51.4
2007-09-01,34.4
2007-10-01,47.25
2007-11-01,50.4
2007-12-01,16.0
2008-01-01,13.666666666666666
2008-02-01,28.5
2008-03-01,39.666666666666664
2008-04-01,26.0
2008-05-01,24.25
2008-06-01,42.0
2008-07-01,55.25
2008-08-01,40.0
2008-09-01,49.5
2008-10-01,50.2
2008-11-01,33.333333333333336
2008-12-01,24.5
2009-01-01,21.8
2009-02-01,13.75
2009-03-01,21.375
2009-04-01,29.0
2009-05-01,42.0
2009-06-01,30.6
2009-07-01,35.2
2009-08-01,37.8
2009-09-01,55.0
2009-10-01,36.6
2009-11-01,38.75
2009-12-01,21.6
2010-01-01,16.5
2010-02-01,19.6
2010-03-01,24.0
2010-04-01,34.0
2010-05-01,33.6
2010-06-01,37.2
2010-07-01,39.666666666666664
2010-08-01,48.6
2010-09-01,37.4
2010-10-01,20.8
2010-11-01,20.0
2010-12-01,28.25
2011-01-01,17.2
2011-02-01,19.0
2011-03-01,22.2
2011-04-01,28.0
2011-05-01,28.8
2011-06-01,39.4
2011-07-01,45.8
2011-08-01,46.5
2011-09-01,44.8
2011-10-01,40.2
2011-11-01,32.0
2011-12-01,28.2
2012-01-01,21.4
2012-02-01,17.6
2012-03-01,23.2
2012-04-01,30.4
2012-05-01,42.6
2012-06-01,36.8
2012-07-01,34.8
2012-08-01,49.833333333333336
2012-09-01,38.6
2012-10-01,30.8
2012-11-01,16.0
2012-12-01,20.2
2013-01-01,14.2
2013-02-01,16.4
2013-03-01,34.4
2013-04-01,40.6
2013-05-01,38.8
2013-06-01,35.6
2013-07-01,42.4
2013-08-01,43.4
2013-09-01,35.6
2013-10-01,36.5
2013-11-01,28.8
2013-12-01,28.0
2014-01-01,58.2
2014-02-01,33.0
2014-03-01,36.8
2014-04-01,49.4
2014-05-01,52.4
2014-06-01,46.6
2014-07-01,60.2
2014-08-01,55.2
2014-09-01,53.0
2014-10-01,45.4
2014-11-01,24.4
2014-12-01,14.833333333333334
2015-01-01,24.8
2015-02-01,37.25
2015-03-01,32.333333333333336
2015-04-01,39.4
2015-05-01,31.0
2015-06-01,63.2
2015-07-01,62.25
2015-08-01,52.6
2015-09-01,38.4
2015-10-01,29.8
2015-11-01,19.8
2015-12-01,17.4
